date,ticker,pct_change_120,pct_change_90,pct_change_30,pct_change_15,run_duration,price_over_time,gap_pct,vol_acceleration,avg_daily_vol,vol_on_breakout_day,vol_in_first_15_min,vol_in_first_10_min,vol_in_first_5_min,vol_in_first_30_min,premarket_vol,reversal_open_low_pct,reversal_open_close_pct,reversal_open_post_low_pct,reversal_open_to_day_after_open_pct,reversal_pct,reversal_duration,trade_grade,cap,spy_open_low_pct,close_at_lows,move_together,close_green_red,hit_green_red,hit_prior_day_hilo,breaks_fifty_two_wk,breaks_ath,atr_pct,atr_pct_move,15m_vol,premarket_vol.1,time_of_reversal
3/2/2021,RKT,0.444268357,0.360199005,0.269266481,0.329120078,26,0.050633858,0.125102881,13.8978,30202620.48,375965355,16319358,13105069,7905165,29077515,6437163,-0.014264813,0.521580102,0.380029261,-0.15874177,-0.3591,0 days 00:15:00,B,Medium,-0.0098,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.0308,0.3764,16319358,6437163,2021-03-02 14:07:00-05:00
1/27/2023,LCID,-0.36645525,-0.370888733,0.409090909,0.081829122,26,0.012589096,-0.001111111,6.91458561,36693484.9,207360549,1537257,1259531,794014,2589898,608026,-0.008898776,0.431590656,0.362625139,0.034482759,-0.4997,0 days 00:48:00,B,Medium,-0.0005,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0467,0.2096,1537257,608026,2023-01-27 13:59:00-05:00
6/8/2021,CLOV,0.344785772,1.051171393,1.013922518,1.403901734,13,0.215984882,0.395553691,46.9338,54985574.52,735229202,64160095,48962709,35133894,97341812,49395090,-0.018935978,0.331529907,0.273820258,-0.431018936,-0.3454,0 days 00:40:00,B,Medium,-0.0042,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.0384,0.2842,64160095,49395090,2021-06-08 10:39:00-04:00
2/28/2020,IBIO,10.47439852,12.98496241,6.62295082,3.940239044,8,0.606190622,1.150289017,1.1509,82628.73155,525400.2,57505.848,36224.234,23798.902,96830.424,47818.71,-0.193548387,0.317204301,0.102150538,-0.698924731,-0.5382,0 days 00:17:00,C,Micro,-0.011,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0238,3.9125,57505.848,47818.71,2020-02-28 11:43:00-05:00
8/16/2022,BBBY,-0.071766096,0.766722878,2.168346774,1.723570191,58.5,0.265164645,-0.0178125,6.6027,50679392.86,394663506,15880840,12105470,7961454,30194973,6219529,-0.022589882,0.31403118,0.219853643,-0.045497932,-0.6794,0 days 01:16:00,A,Medium,-0.002,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.133638431,2.349856833,15880840,6219529,2022-08-16 14:34:00-04:00
8/4/2021,HOOD,0.563756462,0.563756462,0.563756462,0.563756462,13,0.086731763,0.163461538,6.3055,86533046.8,175384348,16652131,15340146,12075775,34957578,11464467,-0.000918274,0.292745638,0.193755739,-0.303746556,-0.4064,0 days 01:04:00,C,Medium,-0.0024,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.0986,0.0828,16652131,11464467,2021-08-04 09:47:00-04:00
7/12/2023,CVNA,4.474377745,2.990394877,0.758701787,0.538683128,214.5,0.082874327,0.051166714,-0.588588165,30233248.19,72550958,4609720,3500056,1647210,6915371,1328751,-0.048058304,0.040117679,0.033974325,-0.079700455,-0.1261,0 days 00:28:00,B,Medium,-0.0033,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0972,0.1577,4609720,1328751,2023-07-12 13:52:00-04:00
8/27/2018,AMD,1.292279412,0.866766467,0.284243048,0.264064876,23.5,0.040625366,0.040033361,11.1938,92963175.43,323976595,26700916,20617781,13244788,43923147,8691791,-0.012586207,0.012830794,0.003608661,-0.081395349,-0.1151,0 days 01:30:00,A,Medium,-0.0006,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.037,0.0935,26700916,8691791,2018-08-27 14:08:00-04:00
8/11/2022,PACB,-0.035582822,0.345890411,0.541176471,0.750556793,2,0.115470276,0.022106632,36.6435,10329117.17,85054931,1654492,1291240,870708,2447782,413511,-0.013994911,0.010178117,-0.020356234,-0.1043257,-0.4286,0 days 01:00:00,A,Small,-0.0089,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0658,0.1304,1654492,413511,2022-08-11 10:58:00-04:00
5/30/2023,AVGO,0.43627139,0.406944421,0.309068109,0.305282901,45.5,0.0469666,0.027549125,4.078502808,2918146.524,11053007,1583503,996778,667002,3087967,393735,-0.043478781,-0.038054411,-0.042053837,-0.105008861,-0.1334,0 days 06:01:00,A,Large,-0.0078,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0195,0.1824,1583503,393735,2023-05-30 09:54:00-04:00
3/29/2022,GME,-0.068164942,0.222893523,0.526187774,1.409934707,71.5,0.216913032,-0.007120629,3.556280976,25518008.36,71778744,10291008,7751560,6148288,15923248,2877932,-0.134084148,-0.044305142,-0.059073523,-0.192626434,-0.1826,0 days 00:30:00,A,Medium,-0.0062,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0648,0.1723,10291008,2877932,2022-03-29 09:35:00-04:00
1/27/2021,SPCE,,,,,,,,,,,,,,,,,,,,,,A,Medium,,,,,,,,,,,,,
5/28/2021,SPCE,,,,,,,,,,,,,,,,,,,,,,B,Medium,,,,,,,,,,,,,
