,date,ticker,position_size,max_loss,max_profit,max_close_profit,risk_reward_ratio,premarket_low_break_price,premarket_low_break_time,premarket_high_break_price,premarket_high_break_time,open_price_break_price,open_price_break_time,two_min_break_price,two_min_break_time,best_signal,signal_time,signal_price,stop_strategy,best_stop,best_stop_price,premarket_low_break_stop_price,premarket_low_break_stopped_out,premarket_low_break_drawdown,premarket_high_break_stop_price,premarket_high_break_stopped_out,premarket_high_break_drawdown,open_price_break_stop_price,open_price_break_stopped_out,open_price_break_drawdown,two_min_break_stop_price,two_min_break_stopped_out,two_min_break_drawdown,_2_minute_quick_exit_time,_2_minute_quick_exit_price,_2_minute_delayed_exit_time,_2_minute_delayed_exit_price,_3_minute_quick_exit_time,_3_minute_quick_exit_price,_3_minute_delayed_exit_time,_3_minute_delayed_exit_price,_4_minute_quick_exit_time,_4_minute_quick_exit_price,_4_minute_delayed_exit_time,_4_minute_delayed_exit_price,_5_minute_quick_exit_time,_5_minute_quick_exit_price,_5_minute_delayed_exit_time,_5_minute_delayed_exit_price,close_price,high_price,low_price,contingency_data
0,2017-12-15,ROKU,1000,0.23000000000000398,6.659999999999997,5.589999999999996,24.30434782608652,,,47.4728,2017-12-15 09:41:50,47.5973,2017-12-15 09:41:55,46.99,2017-12-15 09:34:00,two_min_break,2017-12-15 09:34:00,46.99,market_hours_low,premarket_high_break,46.76,,False,,46.76,False,0.3125701459034778,46.76,False,0.4147856204466708,46.76,False,0.47826086956520664,2017-12-15 09:44:00-05:00,47.3,2017-12-15 09:44:00-05:00,47.27,2017-12-15 09:45:00-05:00,47.3,2017-12-15 09:57:00-05:00,47.86,2017-12-15 09:44:00-05:00,47.24,2017-12-15 10:16:00-05:00,48.8,2017-12-15 09:45:00-05:00,47.24,2017-12-15 10:15:00-05:00,48.8,52.58,53.65,46.65,"{'premarket_vol_pct': 0.00476905041316196, 'five_min_vol_pct': 0.016295675409034205, 'ten_min_vol_pct': 0.02865742434838472, 'fifteen_min_vol_pct': 0.04384203097953023, 'twenty_min_vol_pct': 0.05419092834031533, 'twenty_five_min_vol_pct': 0.08950036212470082, 'thirty_min_vol_pct': 0.12434810208524937, 'premarket_return': 0.016077170418006492, 'two_min_return': -0.010425442291491116, 'five_min_return': -0.010600252737994809, 'ten_min_return': -0.0034435551811289322, 'fifteen_min_return': -0.00484414490311702, 'twenty_min_return': 0.003580454928390875, 'twenty_five_min_return': 0.01477042965459141, 'thirty_min_return': 0.011371103622578094, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
1,2019-01-07,ROKU,1000,0.7310999999999979,5.728899999999996,4.928899999999999,6.741758993297789,,,37.2511,2019-01-07 09:32:20,,,37.45,2019-01-07 09:32:00,premarket_high_break,2019-01-07 09:32:20,37.2511,market_hours_low,premarket_high_break,36.52,,False,,36.52,False,0.43920120366571225,,False,,36.52,False,0.7096774193548429,2019-01-07 09:42:00-05:00,37.52,2019-01-07 09:46:00-05:00,37.72,2019-01-07 09:48:00-05:00,37.63,2019-01-07 10:36:00-05:00,39.28,2019-01-07 09:48:00-05:00,37.63,2019-01-07 10:48:00-05:00,39.43,2019-01-07 10:05:00-05:00,38.04,2019-01-07 12:00:00-05:00,41.74,42.18,42.98,33.9,"{'premarket_vol_pct': 0.06692896868886296, 'five_min_vol_pct': 0.14802646852346985, 'ten_min_vol_pct': 0.22581830340951164, 'fifteen_min_vol_pct': 0.31909320858433105, 'twenty_min_vol_pct': 0.388524606493795, 'twenty_five_min_vol_pct': 0.44069620581528623, 'thirty_min_vol_pct': 0.5115926829561186, 'premarket_return': 0.08571428571428563, 'two_min_return': 0.0021721422753189223, 'five_min_return': 0.0035297311973934153, 'ten_min_return': 0.020021721422753158, 'fifteen_min_return': 0.03638338311159384, 'twenty_min_return': 0.027694814010317703, 'twenty_five_min_return': 0.02633722508824321, 'thirty_min_return': 0.03855552538691298, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
2,2018-09-04,CGC,1000,6.199999999999989,73.40000000000003,52.599999999999966,8.483870967741945,,,473.7,2018-09-04 09:31:05,,,470.3,2018-09-04 09:42:00,two_min_break,2018-09-04 09:42:00,470.3,market_hours_low,two_min_break,464.1,,False,,468.0,True,1.684210526315787,,False,,464.1,False,0.3683870967741929,2018-09-04 09:50:00-04:00,471.49,2018-09-04 10:04:00-04:00,484.1,2018-09-04 10:15:00-04:00,489.29,2018-09-04 10:27:00-04:00,490.9,2018-09-04 10:16:00-04:00,489.29,2018-09-04 10:28:00-04:00,486.8,2018-09-04 10:25:00-04:00,491.99,2018-09-04 10:25:00-04:00,490.9,522.9,543.7,457.2,"{'premarket_vol_pct': 0.030118090377274667, 'five_min_vol_pct': 0.0672294631781732, 'ten_min_vol_pct': 0.10944698848205305, 'fifteen_min_vol_pct': 0.14527229702776354, 'twenty_min_vol_pct': 0.17910940305164014, 'twenty_five_min_vol_pct': 0.21593425636080626, 'thirty_min_vol_pct': 0.2810845222517353, 'premarket_return': 0.005336179295624355, 'two_min_return': 0.008714133900106225, 'five_min_return': 0.001912858660998884, 'ten_min_return': -0.007226354941551438, 'fifteen_min_return': 0.00021253985122204888, 'twenty_min_return': 0.006673751328374111, 'twenty_five_min_return': 0.01679064824654608, 'thirty_min_return': 0.025356004250796982, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
3,2018-09-04,AMD,1000,0.13250000000000028,2.900000000000002,2.3701000000000008,17.88754716981129,,,25.7,2018-09-04 09:30:20,,,26.08,2018-09-04 09:32:00,premarket_high_break,2018-09-04 09:30:20,25.7,market_hours_low,premarket_high_break,25.5675,,False,,25.5675,False,0.822641509433947,,False,,25.5675,False,0.4292682926829252,2018-09-04 09:34:00-04:00,25.95,2018-09-04 09:34:00-04:00,25.9,2018-09-04 09:36:00-04:00,25.86,2018-09-04 09:57:00-04:00,26.33,2018-09-04 09:36:00-04:00,25.86,2018-09-04 10:08:00-04:00,26.44,2018-09-04 10:10:00-04:00,26.46,2018-09-04 10:20:00-04:00,26.35,28.0701,28.6,25.42,"{'premarket_vol_pct': 0.016013015055804117, 'five_min_vol_pct': 0.07492609804297388, 'ten_min_vol_pct': 0.11586223040630537, 'fifteen_min_vol_pct': 0.14453929910393912, 'twenty_min_vol_pct': 0.1804108542884894, 'twenty_five_min_vol_pct': 0.22650553935272422, 'thirty_min_vol_pct': 0.2627307060382347, 'premarket_return': -0.0007800312012480326, 'two_min_return': 0.017759562841529908, 'five_min_return': 0.015222482435597318, 'ten_min_return': 0.017177985948477748, 'fifteen_min_return': 0.016003122560499516, 'twenty_min_return': 0.021077283372365363, 'twenty_five_min_return': 0.031420765027322384, 'thirty_min_return': 0.029098360655737787, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
4,2024-01-19,SMCI,1000,3.7898999999999887,86.32999999999998,80.69,21.290799229531185,342.67,2024-01-19 09:32:05,355.445,2024-01-19 09:34:10,349.2787,2024-01-19 09:32:45,353.97,2024-01-19 09:32:00,premarket_low_break,2024-01-19 09:32:05,342.67,market_hours_low,premarket_low_break,338.8801,338.8801,False,0.16435789862529815,338.8801,False,0.10564506879003215,338.8801,False,0.23643567403304222,338.8801,False,0.8953008303567318,2024-01-19 09:56:00-05:00,381.48,2024-01-19 10:06:00-05:00,390.22,2024-01-19 09:54:00-05:00,381.26,2024-01-19 09:54:00-05:00,381.21,2024-01-19 09:56:00-05:00,381.26,2024-01-19 10:48:00-05:00,405.68,2024-01-19 10:10:00-05:00,386.7,2024-01-19 10:45:00-05:00,408.21,423.36,429.0,338.8801,"{'premarket_vol_pct': 0.10115916608116506, 'five_min_vol_pct': 0.31006741316036884, 'ten_min_vol_pct': 0.5815831620391677, 'fifteen_min_vol_pct': 0.7241234094444625, 'twenty_min_vol_pct': 0.9055028260301118, 'twenty_five_min_vol_pct': 1.114339433319569, 'thirty_min_vol_pct': 1.2529735389215608, 'premarket_return': -0.008143322475570147, 'two_min_return': -0.013004948785821147, 'five_min_return': 0.030210611117504893, 'ten_min_return': 0.05613419265738284, 'fifteen_min_return': 0.07031879387731621, 'twenty_min_return': 0.09476061687190707, 'twenty_five_min_return': 0.11203820923006091, 'thirty_min_return': 0.11344803774887802, 'break_pre_low_5': True, 'break_pre_high_5': True, 'break_pre_low_10': True, 'break_pre_high_10': True, 'break_pre_low_15': True, 'break_pre_high_15': True, 'break_pre_low_20': True, 'break_pre_high_20': True, 'break_pre_low_30': True, 'break_pre_high_30': True}"
5,2023-07-26,XPEV,1000,0.3000000000000007,3.979999999999997,1.5999999999999979,5.3333333333333135,,,17.85,2023-07-26 09:31:00,,,18.74,2023-07-26 09:34:00,premarket_high_break,2023-07-26 09:31:00,17.85,market_hours_low,premarket_high_break,17.55,,False,,17.55,False,0.8333333333333314,,False,,17.55,False,0.5966386554621838,2023-07-26 09:34:00-04:00,18.1,2023-07-26 09:50:00-04:00,20.14,2023-07-26 09:51:00-04:00,20.14,2023-07-26 10:09:00-04:00,20.62,2023-07-26 10:04:00-04:00,20.59,2023-07-26 10:12:00-04:00,20.48,2023-07-26 10:10:00-04:00,20.82,2023-07-26 10:10:00-04:00,20.27,19.45,21.83,15.35,"{'premarket_vol_pct': 0.226460736631814, 'five_min_vol_pct': 0.36448374578463655, 'ten_min_vol_pct': 0.6022136349001023, 'fifteen_min_vol_pct': 0.8637407045470379, 'twenty_min_vol_pct': 1.2929576627822246, 'twenty_five_min_vol_pct': 1.5080212053256208, 'thirty_min_vol_pct': 1.7337827047240313, 'premarket_return': 0.13376205787781337, 'two_min_return': 0.03458049886621306, 'five_min_return': 0.05300453514739223, 'ten_min_return': 0.08446712018140579, 'fifteen_min_return': 0.12414965986394555, 'twenty_min_return': 0.16156462585034004, 'twenty_five_min_return': 0.15136054421768685, 'thirty_min_return': 0.1929138321995465, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
6,2020-01-09,BYND,1000,0.9500000000000028,11.480000000000004,7.900000000000006,8.315789473684191,82.3,2020-01-09 09:41:30,84.7499,2020-01-09 10:09:35,83.15,2020-01-09 09:58:50,82.32,2020-01-09 09:40:00,premarket_low_break,2020-01-09 09:41:30,82.3,market_hours_low,premarket_high_break,81.35,81.65,True,1.461538461538485,81.35,False,0.07644342480661244,81.35,False,0.1027777777777784,81.65,True,1.447761194029876,2020-01-09 09:46:00-05:00,81.84,2020-01-09 09:46:00-05:00,81.5,2020-01-09 09:45:00-05:00,81.82,2020-01-09 09:45:00-05:00,81.5,2020-01-09 10:24:00-05:00,85.76,2020-01-09 10:32:00-05:00,86.3,2020-01-09 10:35:00-05:00,86.21,2020-01-09 10:40:00-05:00,85.85,90.2,93.78,81.35,"{'premarket_vol_pct': 0.030104789720031187, 'five_min_vol_pct': 0.0894572156398805, 'ten_min_vol_pct': 0.13278150294109908, 'fifteen_min_vol_pct': 0.1585385277557241, 'twenty_min_vol_pct': 0.20882323610021455, 'twenty_five_min_vol_pct': 0.25422239371184185, 'thirty_min_vol_pct': 0.2980083977795992, 'premarket_return': -0.018579881656804687, 'two_min_return': -0.001506387081224414, 'five_min_return': -0.00373583996143656, 'ten_min_return': -0.010424198602072887, 'fifteen_min_return': -0.010363943118823826, 'twenty_min_return': -0.009038322487346373, 'twenty_five_min_return': -0.0023222463244155778, 'thirty_min_return': 0.005543504458905613, 'break_pre_low_5': True, 'break_pre_high_5': False, 'break_pre_low_10': True, 'break_pre_high_10': False, 'break_pre_low_15': True, 'break_pre_high_15': False, 'break_pre_low_20': True, 'break_pre_high_20': False, 'break_pre_low_30': True, 'break_pre_high_30': False}"
7,2024-01-22,DWAC,1000,0.7899999999999991,21.299999999999997,19.39,24.54430379746838,,,30.0,2024-01-22 09:31:10,,,32.6868,2024-01-22 09:32:00,premarket_high_break,2024-01-22 09:31:10,30.0,market_hours_low,premarket_high_break,29.21,,False,,29.21,False,0.4049367088607606,,False,,29.21,False,0.7238840312931426,2024-01-22 09:42:00-05:00,31.79,2024-01-22 09:42:00-05:00,31.12,2024-01-22 09:42:00-05:00,31.69,2024-01-22 09:42:00-05:00,31.38,2024-01-22 09:44:00-05:00,31.11,2024-01-22 10:00:00-05:00,30.54,2024-01-22 09:50:00-05:00,31.25,2024-01-22 09:50:00-05:00,31.12,49.39,51.3,27.59,"{'premarket_vol_pct': 0.11139927529970721, 'five_min_vol_pct': 0.2358943420659755, 'ten_min_vol_pct': 0.36205860381993393, 'fifteen_min_vol_pct': 0.4501959840710307, 'twenty_min_vol_pct': 0.4886428548772898, 'twenty_five_min_vol_pct': 0.5442869751911006, 'thirty_min_vol_pct': 0.5793526696116958, 'premarket_return': 0.017391304347825987, 'two_min_return': 0.03682236617797474, 'five_min_return': 0.0734742584384589, 'ten_min_return': 0.09887487214456181, 'fifteen_min_return': 0.07384930105693832, 'twenty_min_return': 0.0697238322536653, 'twenty_five_min_return': 0.06085918854415273, 'thirty_min_return': 0.05489260143198105, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
8,2024-01-17,DWAC,1000,0.870000000000001,7.399999999999999,2.0199999999999996,2.321839080459767,,,21.89,2024-01-17 09:51:45,21.47,2024-01-17 09:46:25,21.3,2024-01-17 09:38:00,two_min_break,2024-01-17 09:38:00,21.3,market_hours_low,premarket_high_break,20.43,,False,,20.43,False,0.2328767123287669,20.43,False,0.5480769230769238,20.43,False,0.6568965517241375,2024-01-17 09:56:00-05:00,21.87,2024-01-17 09:56:00-05:00,21.69,2024-01-17 09:57:00-05:00,21.75,2024-01-17 10:24:00-05:00,24.62,2024-01-17 10:24:00-05:00,24.7,2024-01-17 10:28:00-05:00,23.87,2024-01-17 10:20:00-05:00,24.19,2024-01-17 10:30:00-05:00,23.85,23.32,28.7,19.95,"{'premarket_vol_pct': 0.11082312119757978, 'five_min_vol_pct': 0.09534346142802116, 'ten_min_vol_pct': 0.15787120718793599, 'fifteen_min_vol_pct': 0.1874169817228109, 'twenty_min_vol_pct': 0.26683793225652663, 'twenty_five_min_vol_pct': 0.36999391377919716, 'thirty_min_vol_pct': 0.47160811731200847, 'premarket_return': -0.008360427310729168, 'two_min_return': -0.03504672897196259, 'five_min_return': -0.04205607476635509, 'ten_min_return': -0.0030607476635513553, 'fifteen_min_return': -0.01869626168224292, 'twenty_min_return': -0.010827102803738331, 'twenty_five_min_return': 0.03602336448598131, 'thirty_min_return': 0.024065420560747786, 'break_pre_low_5': False, 'break_pre_high_5': False, 'break_pre_low_10': False, 'break_pre_high_10': False, 'break_pre_low_15': False, 'break_pre_high_15': False, 'break_pre_low_20': False, 'break_pre_high_20': False, 'break_pre_low_30': False, 'break_pre_high_30': True}"
9,2024-01-08,NVDA,1000,2.0714999999999577,30.138500000000022,25.668499999999995,12.391262370263345,,,496.8615,2024-01-08 09:30:55,,,499.62,2024-01-08 09:32:00,premarket_high_break,2024-01-08 09:30:55,496.8615,market_hours_low,premarket_high_break,494.79,,False,,494.79,False,0.8841419261404986,,False,,494.79,False,0.9503105590062209,2024-01-08 09:36:00-05:00,498.42,2024-01-08 09:50:00-05:00,508.72,2024-01-08 09:51:00-05:00,509.09,2024-01-08 10:18:00-05:00,513.86,2024-01-08 09:52:00-05:00,508.57,2024-01-08 10:20:00-05:00,513.19,2024-01-08 09:50:00-05:00,508.57,2024-01-08 10:20:00-05:00,512.95,522.53,527.0,486.8,"{'premarket_vol_pct': 0.014991126150069862, 'five_min_vol_pct': 0.06155293713712515, 'ten_min_vol_pct': 0.1270149056221033, 'fifteen_min_vol_pct': 0.20650327465266596, 'twenty_min_vol_pct': 0.2806872037798306, 'twenty_five_min_vol_pct': 0.3414382883327808, 'thirty_min_vol_pct': 0.38158785475295504, 'premarket_return': 0.013261025273713312, 'two_min_return': 0.005897358216190085, 'five_min_return': 0.009664323800290697, 'ten_min_return': 0.017531103570851414, 'fifteen_min_return': 0.027690256907416444, 'twenty_min_return': 0.030275690741638384, 'twenty_five_min_return': 0.031295443528841504, 'thirty_min_return': 0.030770318306673206, 'break_pre_low_5': False, 'break_pre_high_5': True, 'break_pre_low_10': False, 'break_pre_high_10': True, 'break_pre_low_15': False, 'break_pre_high_15': True, 'break_pre_low_20': False, 'break_pre_high_20': True, 'break_pre_low_30': False, 'break_pre_high_30': True}"
